test,quantity,value,bound,ok,note
K,jax_enable_x64 after `import scripts.lqr_crossover`,1.0,1.0,True,
K,jax.random.normal dtype is float64,1.0,1.0,True,
K,jnp.asarray(np.float64) stays float64,1.0,1.0,True,
K,platform is cpu,1.0,1.0,True,
K,every stored statistic in the 28 cited sweep .npz is float64,0.0,0.0,True,[]
K,"float64 recompute of corner (sigma=0.01, omega=0.1) s3_pw vs saved, rel",0.044111341955323846,0.08660254037844387,True,saved 5.164e-15
K,"float64 recompute of corner s3_zo vs saved, rel",0.0021423882357674007,0.08660254037844387,True,saved 1.361e-07
K,"float32 recompute of corner (sigma=0.01, omega=0.1) s3_pw vs saved, rel",0.044121590854717674,0.08660254037844387,True,saved 5.164e-15
K,"float32 recompute of corner s3_zo vs saved, rel",0.002142306713381781,0.08660254037844387,True,saved 1.361e-07
K,pw: slope of log s3 vs log c at sigma=0.01 (analytic 4),4.092212129638159,0.15,True,
K,pw: slope of log |s2| vs log c at sigma=0.01 (analytic 2),2.04542178318747,0.15,True,
K,zo: slope of log s3 vs log c at sigma=0.01 (analytic 2),1.919628519765231,0.15,True,
K,zo: slope of log |s2| vs log c at sigma=0.01 (analytic 1),0.9590107883522296,0.15,True,
K,corner s3_pw (units (eps/sigma)^2),1.3728366263685783e-14,0.0,True,physical Var_PW_e = 4.463e-17; (eps/sigma)^2 = 3.251e-03
K,corner s3_zo (units (eps/sigma)^2),9.058916553887693e-08,0.0,True,physical Var_ZO_e = 2.945e-10
A,d=1 ||alpha_Q H||_2 - 1,0.0,1e-12,True,
A,d=4 ||alpha_Q H||_2 - 1,0.0,1e-12,True,
A,d=16 ||alpha_Q H||_2 - 1,0.0,1e-12,True,
A,"FD vs grad_a_q_pi, max rel",3.898261457802276e-08,1e-06,True,
A,"reduced form vs alpha_Q grad at scaled state, max rel",7.26561685885608e-16,1e-12,True,
A,"kernel qq/ql form vs Q(mu+su)-Q(mu), max rel",2.811786722153802e-13,1e-10,True,
B,rank1 d=4 rank == 1,1.0,1.0,True,
B,rank1 d=4 ||V V^T - I||_max,3.3306690738754696e-16,1e-13,True,
B,rank_r2 d=8 rank == 2,2.0,2.0,True,
B,rank_r d=8 ||V V^T - I||_max,4.440892098500626e-16,1e-13,True,
B,rank_r2 d=1 rank == 1,1.0,1.0,True,
B,rank_r d=1 ||V V^T - I||_max,0.0,1e-13,True,
B,full d=6 rank == 6,6.0,6.0,True,
B,full d=6 ||V V^T - I||_max,0.0,1e-13,True,
B,"e_value/e_grad vs independent sine field, max rel",2.6645352591003757e-15,1e-12,True,
B,"FD of e vs e_grad, max rel",2.90780043708871e-10,1e-06,True,
B,"q_spread closed form vs MC (sigma=0.05), max rel",0.001987453752225976,0.005,True,
B,"q_spread closed form vs MC (sigma=0.4), max rel",0.0020284922801170335,0.005,True,
B,"saved eps == 0.05 * q_spread (replayed states), max rel",0.0,1e-12,True,
B,"saved phi == replayed phi, max abs",0.0,0.0,True,
B,"saved vtmu == v^T mu (replayed), max abs",0.0,1e-12,True,
B,EF.theta == omega v^T mu + phi,7.105427357601002e-15,1e-12,True,
B,|omega v^T mu| median at omega=5 (0 would make theta=phi exact),13.537314396627796,0.0,True,phi-only convention is NOT exact
C/D,linearity / agreement: pw_core,4.023927035857167e-14,1e-12,True,
C/D,linearity / agreement: zo_core,3.90227981421216e-14,1e-12,True,
C/D,linearity / agreement: pw_mine,4.2760567176550464e-14,1e-12,True,
C/D,linearity / agreement: zo_mine,4.2466586164541103e-14,1e-12,True,
