action_dim,action_pad,actor_hidden,actor_min_std,algo,arm,checkpoint_frac,complete,dir,ent_start,env,eps_e_effective,eps_e_stored,estep_num_samples,files_present,git_commit,is_final,iteration,normalize_env,normalizer_eps,num_eval,obs_dim,seed,seed_index,seed_meta,sha_actor,sha_critic,sha_normalizer,tag,task,time_steps
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s301_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,301,0,301,81c7d4ed4ccc7ab0,009bc3c9c728346b,89986f06a72214ac,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s302_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,302,0,302,a70d40641d24e27c,97a278b196428445,becf52e76d687efb,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s303_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,303,0,303,6f3174d227c9d4a7,319767dd882445c5,3e225a40450fef5a,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s304_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,304,0,304,0011df28bc0cbfe4,17e19e6f4795ddce,eff48809d75961f0,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s305_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,305,0,305,f9088d21876f97e0,74d110cb5a0c9094,96dd98b1abbb6729,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s306_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,306,0,306,c878643e683d690a,a1d0b9a3a142cfd0,ef26ae07f2fdd2db,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s307_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,307,0,307,eeeb71dbbfc420f1,f13bc300ed482959,88b08f369238ff31,pathwise_fa_noent,walker,52297728
6,0,512,0.1,pathwise,PW,1.0,True,exports/WalkerRun_pathwise_fa_noent_s308_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,4665b08de73cf19ef438cfc9c4d9a1c976cf5dc5,True,399,True,0.01,20,24,308,0,308,e2a33398941cd982,d1a6b00f081b140c,ddc59e711744811c,pathwise_fa_noent,walker,52297728
6,0,512,0.1,weighted_mle,WML05,1.0,True,exports/WalkerRun_weighted_mle_s301_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,,True,399,True,0.01,20,24,301,0,301,0e68d7ecc210cb99,c56c4d27a3265ef1,8dc1ce8cbb835a0d,weighted_mle,walker,52297728
6,0,512,0.1,weighted_mle,WML05,1.0,True,exports/WalkerRun_weighted_mle_s302_final,0.014509912580251694,WalkerRun,0.5,0.5,32,actor.npz|critic.npz|normalizer.npz|meta.json,,True,399,True,0.01,20,24,302,0,302,449e5499a1ad10ae,9223937c26f31eee,8cb899c882579701,weighted_mle,walker,52297728
