claim_id,paper_candidate_claim,directly_measured_or_derived,preregistered_or_posthoc,supporting_artifact,safe,qualification_required,reason
L01,"Rank-one error-channel crossover exponent p = 0.4876 (registered d-set {2,4,8,16,32,64})",directly measured (OLS of ln c* on ln d),preregistered (Rule A verification),"scripts/lqr_crossover/out/d{2..64}_rank1_M32_unit_H_identity.npz (manifest sha256); lqr_audit_summary.json; out/bootstrap_p.json [0.4869, 0.4883]",yes,"state that it is a verification of the rank-one algebra (prereg Sec. 3 pins p -> 1/2 by construction), not a test of Claim 4","independently refit to 6e-17; closed form aggregated as the measurement gives 0.492 on the same d-set"
L02,"Fixed-rank r = 2 nominal exponent p = 0.4870",directly measured,post-hoc for the CI (arm preregistered; CI computed during post-hoc audit from preregistered saved data),"out/d{2..64}_rank_r2_M32_unit_H_identity.npz; reports/artifacts/lqr_corrected_bootstrap.json (10 000 resamples, CI [0.4854, 0.4887])",yes,"descriptive; not a Rule B CONFIRMED verdict (ladder incomplete)","refit 0.4870 to 6e-17; d = 1 of this arm has r = 1 and is excluded from the fit"
L03,"Full-rank (r = d) nominal exponent p = 0.4871",directly measured,post-hoc for the CI (arm preregistered),"out/d{2..64}_full_M32_unit_H_identity.npz; lqr_corrected_bootstrap.json (10 000, CI [0.4861, 0.4882])",yes,"report as the nominal/RMS crossover exponent; the full-rank per-d c* equal rank-one's to < 0.5%","refit 0.4871 to 6e-17"
L04,"Full-rank exponent under the registered sup-norm frequency p_omega_inf = -0.0129",derived (algebraic relabelling: 0.4871 - 0.5),preregistered convention (Sec. 5.1) applied post hoc as a shift,"scripts/lqr_crossover/report.py (hardcoded -0.5 shift); lqr_code_correctness_checks.csv (refit of ln(c*/sqrt d) equals p - 0.5 to 2.7e-16)",yes,"must be labelled an algebraic coordinate transformation of L03, never an independently fitted exponent","not a second measurement; the underlying crossovers did not move"
L05,"(Var_e[ZO]/Var_e[PW]) r_RMS^2 = M/(M-1) = 32/31 for the de-attenuated centred ZO, d >= 8, all rank arms",directly measured against an analytic constant,post-hoc (computed during audit from preregistered saved data),"reports/artifacts/lqr_code_correctness_part6.csv; lqr_audit_rms.csv (medians 1.0315-1.0363 at d >= 8)",yes,"controlled-family empirical identity: 'across the planted sinusoidal error families considered here'; not a theorem for learned critics; the appendix constant sqrt(1 - 1/M) belongs to the plain (un-de-attenuated) estimator","derived independently: PW ~ E||grad e||^2/M, de-attenuated ZO ~ d E[e^2]/((M-1) sigma^2); deviations grow toward d = 1 (1.44) as the along-v term predicts"
L06,"Rule A: VERIFIED",derived from L01 plus the 4-SE closed-form clause,preregistered,"reports/artifacts/lqr_corrected_ruleA.csv (measurement-matched comparator B: <= 2.8 SE on the registered d-set; old theta = phi column: 16 SE at d = 2)",yes,"cite comparator B, not the old 'c* analytic' column; d = 1 (secondary) fails at 4.7 SE under B","the report never computed the SE clause; the correct comparator passes it"
L07,"Rule B: REFUTED at full rank under the registered sup-norm frequency",derived (L04 lies outside [0.35,0.65] and [0.8,1.2])",preregistered,"docs/prereg_lqr_crossover.md Sec. 5.3 third bullet; lqr_audit_summary.json",yes,"do NOT append 'confirmed at fixed rank': the CONFIRMED branch needs four rungs and per-rank CIs; ceil(sqrt d) rung not run","the refuting number is an algebraic relabelling of a crossover that did not move (L03/L04)"
L08,"Registered cross-term diagnostic: |2Cov| > 0.25 Var_e anywhere on the swept grid -> flagged at every d",directly measured,preregistered (Sec. 5.4),"reports/artifacts/lqr_corrected_crossterm.csv columns *_A_registered_allgrid_max (PW 3.0e5-7.1e5, ZO 5.9e3-5.7e4; every maximum at sigma = 0.01)",yes,"REGISTERED GRID RESULT; the maximum lies in the policy-unreachable region and diverges as c^-2 (PW) / c^-1 (ZO) by construction; it does not bear on the error-channel identity","the diagnostic was replaced in analyze.cross_share at 98da377 after the data existed; its literal outcome is restored here"
L09,"Post-hoc at-crossover cross-term diagnostic: flagged at d in {1,2,4}",directly measured,post-hoc (code changed at 98da377),"lqr_corrected_crossterm.csv *_B_at_crossover; lqr_corrected_levelset.csv",yes with qualification,"the report's single-cell values sit at sigma = 0.01-0.0135 (unreachable) for d = 1,2,4; along the reachable part of the level set the ratio is larger (ZO median 41/20/7.6, PW 19/9.5/3.7) and d = 8 is marginal (ZO max 0.255)","cell choice is np.argmin's first level-set cell; report the reachable level-set median/max instead"
L10,"Var_e / MSE_total at the error-channel crossover (reachable level set): PW 0.3-4.6% median, ZO ~0.1%",directly measured,post-hoc,"lqr_corrected_levelset.csv (policy_reachable rows)",yes,"state that at eps_frac = 0.05 the channel Claim 4 compares carries <= 5% (PW) and ~0.1% (ZO) of total estimator error at the crossover; the smooth part dominates","answers how much of total error the error channel represents where the two sensitivities are equal"
L11,"E1b full-estimator crossover: c*_E1b / c*_E1a = 29-36; p_E1b = 0.4359; c*_E1b ~ 1/eps",directly measured,preregistered arm; no registered verdict,"lqr_audit_rules.csv (c_star_E1b, ratio_E1b_E1a); reports/lqr_crossover.md Sec. 4, 7.1b",yes,"E1b is a joint statement in (eps, omega); not an intrinsic threshold; the prereg's '(d+1)/(M-1) factor' language is a variance factor and was not adjudicated","independently recomputed"
L12,"epsilon scaling: c*_E1b ratio 3.95-4.00 for 4x eps; E1a is eps-independent by construction",directly measured (E1b) / structural (E1a),preregistered guard (Sec. 7),"out/d*_rank1_M32_unit_H_identity_eps20.npz; reports/lqr_crossover.md Sec. 7.1b",yes,"E1a eps-invariance is an implementation check, not a finding (eps is factored out analytically)","eps20 arm ran at N = 2000"
L13,"LQR E-step M sweep: the ZO-minus-E-step cosine gap to the exact estimand shrinks with M (d = 21: 0.1151 -> 0.0162 from M = 32 to 2048)",directly measured (cosine to the LQR estimand),post-hoc exploratory (not in the prereg),"out/m_sweep_estep.json, m_sweep_estep_hi.json, m_sweep_estep_hiw.json; scripts msweep*.py (committed c0a1ff1)",yes with qualification,"estimator/estimand alignment only; must not be phrased as 'larger M improves WML' or 'should improve return'","scripts were untracked when the results were produced"
L14,"HumanoidRun weighted-MLE return vs M: M=32 mean 666.17 (n=8), M=128 137.16 (n=5), M=512 10.98 (n=2); pathwise control 738.61 (per-seed means over evals 15-19)",directly measured (training runs),exploratory (seeds 201+; ledger/README.md: never confirmatory),"reports/m_sample_count_audit.md Sec. 0/Step 4; exports_manifest.csv final_eval_return (M=32 n=22 mean 672.2; M=128 n=7 mean 98.8; M=512 n=4 mean 10.5)",yes,"return collapses as M rises; the LQR Sec. 7.4 implied rescue is NOT supported at return level; exploratory namespace, GPU-confounded arms, M = 512 below the n = 5 floor","the two aggregations differ (eval window and seed set); cite whichever is used with its n"
L15,"First-order E-step bridge: Delta mu = sigma ubar + (sigma^2/eta) g_ZO_plain + O(eta^-2)",derived and numerically verified (rel 7e-4 at eta = 1e3),post-hoc (LQR) / preregistered probe P1 (trained checkpoints),"lqr_code_correctness_checks.csv (Part 13); reports/ubar_ratio.md Sec. 5 (P1 fails in 9 of 10 trained conditions)",yes with qualification,"a mathematical bridge; in trained checkpoints the first-order approximation is adequate in 1 of 10 conditions (hopper arm A), so the expansion does not describe the shipped update quantitatively","at first order ubar dominates; cos(d_ES, g_ZO) = -0.09 at large eta"
L16,"ubar dimension-amplification hypothesis (WalkerRun d = 6 -> 22): REFUTED in the matched estimator probe (Rho medians 1.035 arm A, 0.485 arm B vs registered 1.3)",directly measured,preregistered (docs/prereg_ubar_ratio.md P4),"reports/ubar_ratio.md Sec. 9 (commit 5de9b3e)",yes,"unpaired in seed and alpha; estimator-level only; says nothing about returns","do not present ubar amplification as an open hypothesis"
L17,"d = 6 arm: c*(6) = 2.4924; cross term at crossover PW 0.330 / ZO 0.857",directly measured,post-hoc (prereg addendum A1, d2cb9f6),"out/d6_rank1_M32_unit_H_identity.npz (f4258099de79); lqr_audit_crossterm.csv",yes with qualification,"POST HOC; excluded from every registered fit; Walker's d sits inside the at-crossover flag set","added to place Walker's action dimension"
L18,"'The crossover threshold grows as sqrt(d)'",derived (L01-L03) at fixed rank; relabelled at full rank (L04),preregistered prediction; verification at rank one,"L01-L04 artifacts",yes with qualification,"true for the nominal/RMS frequency at every tested rank; the UNIVERSAL sup-norm statement fails because omega_inf/omega = 1/sqrt r is rank dependent; rank one pins p = 1/2 algebraically","never state the universal sup-norm sqrt(d) claim without the rank qualification"
L19,"'The mechanism is rank-independent'",derived (per-d c* agree across rank arms to < 0.5%),post-hoc observation,"lqr_audit_summary.json ladder cstars",yes with qualification,"say 'the nominal/RMS crossover is unchanged across the three tested rank arms'; the ceil(sqrt d) rung is untested; 'rank-independent' must not be read as a Rule B CONFIRMED","three of four registered rungs"
